,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,exam_max
0,100,100,92.85,71.97,93.90,98.65,71.25,81.76,0,99,61.80,74
1,100,81.63,76.68,69.56,98.86,0,90,87.59,92.97,96,0,84
2,100,87.82,100,100,100,97.98,100,98.74,90,100,0,59
3,100,100,88.12,74.89,0,56.31,92.50,84.19,83.13,99,94.40,81
4,70,87.42,93.65,65.28,90.71,97.75,85.80,84.60,91.97,97,58.91,59
5,100,86.14,91.64,98,90.03,94.39,96.88,66.61,78.45,100,100,85
6,100,100,96.77,95.78,97.42,98.65,0,90.90,73.33,100,97.20,81
7,100,93.50,96.77,100,99.26,100,100,84.28,97.97,0,56.73,77
8,100,94.92,95.14,51.94,97.42,92.04,84.38,60.38,91.06,100,100,90
9,100,95.25,95.74,100,100,100,96.88,95.80,100,100,100,97
10,100,91.86,90.62,83.56,70.54,100,100,97.90,94,100,100,94
11,100,100,96.62,100,87.38,99.03,100,94.88,96,90,100,97
12,100,83.59,98,96.89,93.33,100,93.75,84.13,90,100,98.91,88
13,100,99.47,95.60,100,100,87.29,93.75,91.20,92,100,100,98
14,100,100,96.17,100,100,83.72,100,98.88,88,100,97.20,98
15,100,100,95.11,100,82.47,77.08,100,75.27,78.23,98,100,80
16,100,87.83,0,0,0,0,0,0,0,0,0,
17,100,94.25,91.04,100,100,100,96.88,97.90,95.97,100,97.20,91
18,100,78.63,96.32,93,96.85,99.10,100,84.92,89.89,92.66,54,88
19,100,84.67,95.91,87.67,92.71,86.99,85.86,26,92,100,100,87
20,100,93.92,0,0,0,0,0,0,0,0,0,
21,100,100,97.60,84.89,96.67,96.78,0,92.09,86,99,94.40,93
22,100,100,98,94.67,100,96.41,0,83.41,96.67,97.50,94.40,83
23,92.50,79.83,95.97,78.44,29,95.06,73.93,83.38,80.85,98,97.20,76
24,100,90.56,94.21,100,98.67,99.33,98.44,96.78,82.84,100,100,86
25,87.50,91.75,78.30,77.26,100,99.33,79.58,84.92,86.64,97,97.20,89
26,100,100,92.57,100,97.42,93.55,97.92,95.70,91.97,93,55.91,86
27,100,96.17,89.62,98.89,97.33,100,96.88,20,98,100,97.20,81
28,100,91.82,98.50,96.89,98.67,100,96.88,84.70,83.90,100,100,88
